user_id,movie_id,rating
user_1,tt0000084,3
user_1,tt0000054,1
user_1,tt0000071,8
user_1,tt0000046,3
user_1,tt0000045,3
user_1,tt0000040,1
user_1,tt0000023,5
user_1,tt0000081,10
user_1,tt0000011,7
user_1,tt0000001,10
user_1,tt0000019,9
user_2,tt0000016,10
user_2,tt0000010,6
user_2,tt0000100,7
user_2,tt0000081,4
user_2,tt0000069,7
user_2,tt0000095,8
user_2,tt0000060,1
user_2,tt0000018,6
user_2,tt0000050,8
user_2,tt0000038,5
user_2,tt0000099,4
user_3,tt0000065,3
user_3,tt0000010,4
user_3,tt0000058,3
user_3,tt0000061,1
user_3,tt0000026,1
user_3,tt0000064,5
user_4,tt0000064,5
user_4,tt0000079,6
user_4,tt0000061,7
user_4,tt0000062,3
user_4,tt0000041,10
user_4,tt0000029,3
user_4,tt0000011,5
user_4,tt0000083,6
user_4,tt0000044,9
user_4,tt0000059,5
user_5,tt0000099,9
user_5,tt0000092,7
user_5,tt0000037,4
user_5,tt0000045,3
user_5,tt0000068,10
user_5,tt0000022,5
user_5,tt0000020,5
user_5,tt0000030,3
user_5,tt0000083,9
user_5,tt0000006,4
user_5,tt0000041,5
user_5,tt0000049,4
user_5,tt0000015,5
user_5,tt0000063,7
user_5,tt0000014,9
user_5,tt0000054,7
user_5,tt0000027,5
user_5,tt0000056,10
user_5,tt0000093,10
user_6,tt0000048,4
user_6,tt0000023,6
user_6,tt0000024,1
user_6,tt0000059,9
user_6,tt0000096,1
user_6,tt0000043,5
user_6,tt0000073,4
user_6,tt0000002,3
user_6,tt0000069,6
user_6,tt0000064,2
user_6,tt0000078,3
user_7,tt0000052,3
user_7,tt0000041,9
user_7,tt0000007,7
user_7,tt0000013,7
user_7,tt0000078,6
user_7,tt0000009,8
user_7,tt0000054,4
user_7,tt0000029,8
user_7,tt0000061,4
user_8,tt0000043,8
user_8,tt0000011,6
user_8,tt0000031,5
user_8,tt0000068,9
user_8,tt0000078,1
user_8,tt0000065,5
user_8,tt0000016,6
user_8,tt0000080,5
user_8,tt0000083,6
user_8,tt0000033,6
user_8,tt0000064,7
user_8,tt0000094,4
user_8,tt0000069,8
user_8,tt0000062,7
user_8,tt0000006,9
user_8,tt0000090,7
user_8,tt0000095,3
user_8,tt0000039,3
user_8,tt0000086,8
user_8,tt0000074,5
user_8,tt0000009,4
user_8,tt0000044,8
user_8,tt0000040,6
user_8,tt0000004,2
user_8,tt0000029,4
user_8,tt0000020,4
user_8,tt0000013,6
user_8,tt0000077,6
user_9,tt0000097,3
user_9,tt0000063,6
user_9,tt0000054,6
user_9,tt0000025,3
user_9,tt0000059,7
user_9,tt0000098,3
user_9,tt0000052,8
user_9,tt0000085,10
user_9,tt0000081,4
user_9,tt0000042,1
user_9,tt0000028,4
user_9,tt0000039,7
user_9,tt0000072,4
user_9,tt0000053,6
user_9,tt0000032,9
user_9,tt0000016,1
user_9,tt0000086,5
user_9,tt0000061,7
user_9,tt0000007,1
user_9,tt0000049,4
user_9,tt0000036,6
user_10,tt0000055,6
user_10,tt0000090,10
user_10,tt0000058,2
user_10,tt0000066,5
user_10,tt0000050,1
user_10,tt0000051,7
user_11,tt0000006,2
user_11,tt0000096,3
user_11,tt0000009,7
user_11,tt0000012,7
user_11,tt0000081,4
user_11,tt0000031,5
user_11,tt0000015,5
user_11,tt0000044,6
user_11,tt0000026,9
user_11,tt0000002,2
user_11,tt0000027,5
user_11,tt0000090,3
user_11,tt0000041,4
user_11,tt0000025,10
user_11,tt0000017,6
user_11,tt0000073,8
user_11,tt0000058,1
user_11,tt0000059,10
user_11,tt0000070,8
user_11,tt0000075,7
user_11,tt0000069,1
user_12,tt0000016,1
user_12,tt0000099,1
user_12,tt0000082,10
user_12,tt0000015,9
user_12,tt0000092,7
user_12,tt0000084,1
user_12,tt0000083,8
user_12,tt0000072,3
user_12,tt0000085,8
user_12,tt0000100,5
